segment,anomaly,train,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len,label
16.0,0.0,1.0,1.0,249.0,250.0,2.560307673600001e-06,5.613340482840467e-10,2.369248928002389e-05,-1.4583843794155231,-0.0394007283374755,1.0,1.0,1.0,67.0,66.0,2.09028752873673e-12,4.5076300228425646e-12,249.0,250.0,2.2543536075664533e-12,2.2453361931361878e-12,0
17.0,0.0,1.0,1.0,238.0,239.0,2.181008912133891e-06,3.4062737476365075e-10,1.845609316089542e-05,-1.0120805740067558,-0.363082320020136,1.0,1.0,1.0,54.0,64.0,1.6851626846655493e-12,3.865913626402384e-12,238.0,239.0,1.4312074569901292e-12,1.4252191412705053e-12,0
18.0,0.0,0.0,1.0,213.0,214.0,-1.104237738317757e-06,2.435482513359998e-10,1.5606032530274945e-05,-1.0863347541610358,-0.3215406848946128,1.0,1.0,1.0,47.0,51.0,1.5541308586841698e-12,3.651738322983825e-12,213.0,214.0,1.1434190203568064e-12,1.138075940822429e-12,0
19.0,1.0,1.0,1.0,202.0,203.0,-5.584398348768473e-06,1.9262978945958084e-10,1.387911342484025e-05,-1.2649221065817802,-0.1468441553509792,2.0,1.0,1.0,29.0,40.0,2.3599440551902203e-12,5.479548364194244e-12,202.0,203.0,9.536128191068358e-13,9.489152190127137e-13,0
20.0,1.0,0.0,1.0,267.0,268.0,3.992460474626865e-06,5.382671391492644e-10,2.320058488808557e-05,-1.02966075201578,-0.3120467255345933,1.0,1.0,1.0,18.0,19.0,5.083800741327838e-12,1.029699471866654e-11,267.0,268.0,2.015981794566534e-12,2.0084594744375546e-12,0
21.0,1.0,0.0,1.0,281.0,282.0,5.289524934397164e-06,4.2267670560076074e-10,2.0559102743085867e-05,-0.6099811249142237,-0.5351140290160574,3.0,2.0,1.0,1.0,2.0,2.2744860842710048e-11,6.684322749233181e-11,281.0,282.0,1.504187564415519e-12,1.4988535659601448e-12,0
22.0,1.0,1.0,1.0,183.0,184.0,-5.040148853641304e-06,2.2957973930255104e-10,1.5151888968130378e-05,0.5374727443578138,-1.5093964027183435,6.0,1.0,1.0,14.0,15.0,7.517321168711943e-12,1.5725877456716946e-11,183.0,184.0,1.2545340945494592e-12,1.247715974470386e-12,0
23.0,0.0,1.0,1.0,243.0,244.0,2.346611106557377e-06,8.908867435407414e-10,2.9847725935835408e-05,-1.4878089313826552,0.0022501749039919,1.0,1.0,1.0,47.0,53.0,3.0884833911403045e-12,6.299152873774194e-12,243.0,244.0,3.66620059070264e-12,3.651175178445663e-12,0
24.0,1.0,1.0,1.0,201.0,202.0,-8.968957113861387e-06,4.0564902046655837e-10,2.0140730385627982e-05,-1.3019901857550655,-0.1811360840432008,1.0,1.0,1.0,12.0,13.0,6.703092841414196e-12,1.307913476781837e-11,201.0,202.0,2.018154330679395e-12,2.0081634676562297e-12,0
25.0,0.0,1.0,1.0,208.0,209.0,9.8655519138756e-07,6.941012221737456e-10,2.634580084517732e-05,-1.4755890643097809,-0.031255114779436,1.0,1.0,1.0,50.0,61.0,2.0925472008710955e-12,3.571336707892104e-12,208.0,209.0,3.3370251066045472e-12,3.321058479300219e-12,0
26.0,0.0,1.0,1.0,210.0,211.0,2.9755845450236967e-06,8.370861073143552e-10,2.8932440396799493e-05,-1.4931356400078035,-0.0093463402546961,1.0,1.0,1.0,42.0,53.0,2.494872292997721e-12,4.621311987082184e-12,210.0,211.0,3.986124320544548e-12,3.9672327360869916e-12,0
27.0,0.0,1.0,1.0,202.0,203.0,7.010657576354678e-06,5.013480960466014e-10,2.2390803827611936e-05,-0.8336900319426253,-0.4789567957926405,2.0,1.0,1.0,36.0,38.0,3.2894368618308617e-12,7.773531738830662e-12,202.0,203.0,2.481921267557433e-12,2.469695054416756e-12,0
28.0,0.0,0.0,1.0,181.0,182.0,-4.743231538461536e-07,2.2825209786002243e-10,1.5108014358611873e-05,-0.7797241551683598,-0.6228378324931242,1.0,1.0,1.0,38.0,47.0,1.214893538327048e-12,2.8585815049019e-12,181.0,182.0,1.2610613141437705e-12,1.2541324058242993e-12,0
29.0,1.0,1.0,1.0,225.0,226.0,2.5735809424778764e-06,3.9915988314566786e-10,1.997898603897775e-05,-1.2579965834416331,-0.1848671680237747,4.0,2.0,1.0,13.0,27.0,6.237984693873817e-12,1.373772180159846e-11,225.0,226.0,1.7740439250918573e-12,1.76619417321092e-12,0
30.0,0.0,0.0,1.0,194.0,195.0,-2.18286067297436e-06,1.2341850460009111e-10,1.110938812896962e-05,-0.8880815455825006,-0.3856325215567748,3.0,1.0,1.0,45.0,48.0,2.401660562436652e-12,6.975553311374877e-12,194.0,195.0,6.361778587633563e-13,6.329154082055955e-13,0
31.0,1.0,0.0,1.0,198.0,199.0,3.98613059798995e-06,1.4249355135748187e-10,1.1937066279345267e-05,-1.09267254842308,0.3714784956999048,1.0,1.0,1.0,19.0,16.0,3.387310865985416e-12,7.259268003026522e-12,198.0,199.0,7.19664400795363e-13,7.160479967712657e-13,0
32.0,0.0,1.0,1.0,202.0,203.0,6.426002753694582e-07,2.2883340565612087e-10,1.5127240516899338e-05,-1.2901575129495155,-0.1535840082192607,1.0,1.0,1.0,55.0,61.0,1.886357072614889e-12,5.296148517595596e-12,202.0,203.0,1.132838641861985e-12,1.1272581559414826e-12,0
33.0,0.0,1.0,1.0,229.0,230.0,2.101973343478261e-06,3.6454762997174174e-10,1.909313043928999e-05,-1.4942384421491517,0.0198442970180315,1.0,1.0,1.0,64.0,64.0,2.332067506749891e-12,6.430783995253762e-12,229.0,230.0,1.5919110479115366e-12,1.5849896955293129e-12,0
34.0,0.0,1.0,1.0,185.0,186.0,-7.543538026881721e-06,8.746723383396739e-11,9.352391877694572e-06,-1.1978992609144303,-0.2081805538291964,3.0,1.0,1.0,41.0,44.0,1.5755302193307805e-12,4.361466225010511e-12,185.0,186.0,4.72795858561986e-13,4.702539453439108e-13,0
35.0,0.0,0.0,1.0,226.0,227.0,6.124206829515419e-06,6.458078624865878e-10,2.541274999850641e-05,-1.1283898004965605,-0.2607257972634032,1.0,1.0,1.0,57.0,73.0,1.89203639218526e-12,4.395055610008221e-12,226.0,227.0,2.8575569136574684e-12,2.8449685572096385e-12,0
36.0,0.0,1.0,1.0,213.0,214.0,3.743594481308412e-06,6.40731486430014e-10,2.531267442270797e-05,-1.1666609687637206,-0.2631781676284668,1.0,1.0,1.0,51.0,59.0,1.5349787323895149e-12,3.1348538200671495e-12,213.0,214.0,3.008129044272367e-12,2.9940723664953928e-12,0
37.0,0.0,1.0,1.0,192.0,193.0,6.116210595854922e-06,7.083659690789161e-10,2.661514548295606e-05,-1.153059937909473,-0.2862722087532431,1.0,1.0,1.0,31.0,38.0,1.7912677071097193e-12,3.085998146989425e-12,192.0,193.0,3.689406088952689e-12,3.670289995227546e-12,0
38.0,0.0,1.0,1.0,196.0,197.0,1.7975299492386502e-08,7.739083804899863e-10,2.781920884011597e-05,-1.4850694590849882,-0.0666227459606806,1.0,1.0,1.0,44.0,55.0,1.4800673793906628e-12,2.055843066294225e-12,196.0,197.0,3.948512145357074e-12,3.928468936497393e-12,0
39.0,0.0,1.0,1.0,201.0,202.0,-4.013059732673268e-06,7.030623892734438e-10,2.6515323669030403e-05,-1.5032768274517874,0.0422817171651537,1.0,1.0,1.0,53.0,63.0,2.0956523023503574e-12,4.619261055251599e-12,201.0,202.0,3.4978228322061884e-12,3.480506877591307e-12,0
40.0,0.0,1.0,1.0,181.0,182.0,-5.13265655e-06,3.017189325157163e-10,1.737005850639877e-05,-1.0719674877397287,-0.2704383521480956,2.0,1.0,1.0,41.0,48.0,4.688929118648005e-12,1.2691291607019423e-11,181.0,182.0,1.666955428263626e-12,1.6577963325039357e-12,0
41.0,0.0,1.0,1.0,199.0,200.0,4.06904122e-06,4.445181129861795e-10,2.108359819827203e-05,-1.4026988422537556,-0.1200316282187602,1.0,1.0,1.0,34.0,40.0,2.5415260430275344e-12,6.3915221871309396e-12,199.0,200.0,2.233759361739596e-12,2.222590564930898e-12,0
42.0,0.0,0.0,1.0,192.0,193.0,4.740144067357513e-06,2.733656242027504e-10,1.653377223148881e-05,-0.7344110338603698,-0.5283865011298791,2.0,1.0,1.0,43.0,54.0,2.5763674947990272e-12,6.9194882920046134e-12,192.0,193.0,1.4237792927226585e-12,1.416402197941712e-12,0
43.0,0.0,0.0,1.0,173.0,174.0,-2.7021560402298847e-06,1.2020044668510903e-10,1.0963596430237162e-05,-0.5898995336961526,-0.6651712810061887,2.0,1.0,1.0,47.0,58.0,2.5786907004658168e-12,7.280366690347954e-12,173.0,174.0,6.948002698561217e-13,6.908071648569486e-13,0
44.0,0.0,1.0,1.0,205.0,206.0,7.183812135922328e-07,3.1104888852690237e-10,1.7636578141093652e-05,-1.4721426388551364,-0.0150803784611694,2.0,1.0,1.0,34.0,41.0,2.7770370187511977e-12,7.85309143882054e-12,205.0,206.0,1.5173116513507432e-12,1.5099460608102057e-12,0
45.0,0.0,1.0,1.0,195.0,196.0,-1.312462500000001e-07,2.438485665346287e-10,1.561565133238536e-05,-1.4229913972403705,-0.0620299500774983,2.0,1.0,1.0,41.0,36.0,2.3971462657617682e-12,6.253709589544623e-12,195.0,196.0,1.2505054694083525e-12,1.2441253394623913e-12,0
46.0,0.0,1.0,1.0,185.0,186.0,6.967145411827957e-06,2.38197557691497e-10,1.543365017393802e-05,-1.429684555894081,-0.1021904956909832,3.0,1.0,1.0,40.0,52.0,2.3558835814535306e-12,4.935010106102847e-12,185.0,186.0,1.2875543658999845e-12,1.2806320305994468e-12,0
47.0,0.0,1.0,1.0,184.0,185.0,-3.4006216e-06,2.0932254182656862e-10,1.4467983336545858e-05,-0.9771111583624026,-0.3765486249078456,1.0,1.0,1.0,44.0,53.0,9.644726418815068e-13,1.856168658358875e-12,184.0,185.0,1.1376225099270034e-12,1.131473199062533e-12,0
48.0,0.0,1.0,1.0,233.0,234.0,-1.4488028452991454e-06,6.032890044128557e-10,2.4561942195454656e-05,-1.4895453009880302,0.0157715787369657,1.0,1.0,1.0,55.0,63.0,1.6012962324056473e-12,3.132799937927992e-12,233.0,234.0,2.589223194904961e-12,2.578158138516479e-12,0
49.0,0.0,1.0,1.0,185.0,186.0,-6.523637596774194e-06,2.5008550452398304e-10,1.5814091960146906e-05,-0.6905052180708902,-0.7442022222449438,2.0,1.0,1.0,27.0,35.0,1.8235065788138158e-12,4.373566220842752e-12,185.0,186.0,1.3518135379674759e-12,1.3445457232472206e-12,0
50.0,0.0,0.0,1.0,197.0,198.0,5.0880126373737374e-06,5.857931368347815e-10,2.420316377738212e-05,-0.730640219116145,-0.5972663331352035,1.0,1.0,1.0,43.0,52.0,2.053498038814643e-12,3.842948188419347e-12,197.0,198.0,2.9735692225115824e-12,2.958551196135261e-12,0
51.0,1.0,1.0,1.0,206.0,207.0,3.2513048792270545e-06,8.37596627152016e-10,2.894126167173809e-05,-1.3118048273573302,-0.0988221558243367,1.0,1.0,1.0,18.0,26.0,5.0025939564604206e-12,1.024830473634244e-11,206.0,207.0,4.066003044427263e-12,4.0463605176425896e-12,0
52.0,1.0,1.0,1.0,166.0,167.0,-1.8754152574850304e-06,5.697570098170464e-10,2.3869583360776248e-05,-1.2205775116636852,-0.2947699527317904,1.0,1.0,1.0,33.0,43.0,2.505382759431736e-12,5.010278248138061e-12,166.0,167.0,3.432271143476183e-12,3.4117186216589605e-12,0
53.0,0.0,1.0,1.0,193.0,194.0,-3.737276556701031e-06,8.166443576989557e-10,2.857699000417916e-05,-1.4758693751638186,-0.0164847932084414,1.0,1.0,1.0,45.0,62.0,3.1669332527812304e-12,6.061745467709311e-12,193.0,194.0,4.23131791553863e-12,4.209506998448225e-12,0
54.0,0.0,0.0,1.0,180.0,181.0,2.0111364640884e-07,7.727336865109864e-10,2.779808782112515e-05,-1.454653076723475,-0.0703708418890259,1.0,1.0,1.0,39.0,42.0,2.504851863701707e-12,4.136274538327412e-12,180.0,181.0,4.292964925061036e-12,4.2692468868010296e-12,0
55.0,0.0,1.0,1.0,173.0,174.0,3.601382387931034e-06,5.119306924574624e-10,2.2625885451346705e-05,-1.0730512326690211,-0.3433641113262408,1.0,1.0,1.0,45.0,50.0,2.5160701738773417e-12,5.5222220290121546e-12,173.0,174.0,2.95913695062117e-12,2.9421304164221976e-12,0
56.0,0.0,1.0,1.0,190.0,191.0,4.68003470157068e-06,4.4151578223804474e-10,2.1012276940827822e-05,-1.217343212252034,-0.1906420296395878,1.0,1.0,1.0,29.0,45.0,2.651447712992497e-12,5.423697489754469e-12,190.0,191.0,2.3237672749370777e-12,2.311600954125889e-12,0
57.0,1.0,1.0,1.0,190.0,191.0,3.63203292670157e-06,3.969025581867572e-10,1.9922413462900453e-05,-1.2363885717823313,-0.2132621806319292,2.0,1.0,1.0,16.0,29.0,4.264999474465775e-12,8.612306281625527e-12,190.0,191.0,2.08896083256188e-12,2.078023864852132e-12,0
58.0,0.0,1.0,1.0,158.0,159.0,-4.3134840754716985e-06,9.74329108007339e-11,9.870811050807015e-06,-1.3936797186758496,0.0043021026279251,2.0,1.0,1.0,28.0,36.0,2.0130440020890228e-12,4.249245681800116e-12,158.0,159.0,6.166639924097082e-13,6.12785602520339e-13,0
59.0,1.0,1.0,1.0,194.0,195.0,2.892919692307692e-06,2.1281915687004408e-10,1.45883226201659e-05,-1.3743775799641456,-0.069716947064986,2.0,2.0,1.0,4.0,15.0,3.111372416656651e-12,6.166965234303396e-12,194.0,195.0,1.0970059632476498e-12,1.0913802916412518e-12,0
60.0,1.0,1.0,1.0,192.0,193.0,2.5781327461139894e-06,2.545791623726749e-10,1.5955537044320224e-05,-1.510190329450101,-0.0282323702724008,1.0,1.0,1.0,27.0,26.0,1.3298934947435105e-12,2.4942697544929287e-12,192.0,193.0,1.3259331373576819e-12,1.3190630174749996e-12,0
61.0,0.0,0.0,1.0,184.0,185.0,3.033028583783784e-06,2.7959955150217535e-10,1.6721230561838906e-05,-1.4817374727215182,-0.0570138534090869,1.0,1.0,1.0,51.0,57.0,6.821750112247423e-13,1.0305709339668388e-12,184.0,185.0,1.5195627799031274e-12,1.5113489270387868e-12,0
62.0,1.0,1.0,1.0,172.0,173.0,-4.602417971098265e-06,1.8269593844508815e-10,1.3516506147858188e-05,-1.2990520296010797,-0.1025238130996888,2.0,2.0,1.0,1.0,5.0,4.238231915108686e-12,6.898922805017506e-12,172.0,173.0,1.0621856886342337e-12,1.0560458869658277e-12,0
63.0,0.0,0.0,1.0,207.0,208.0,7.758007211538466e-07,6.311851535680606e-10,2.512339852742978e-05,-1.4288886955001552,-0.0352066460958525,1.0,1.0,1.0,58.0,71.0,8.404117628554484e-13,8.262101578803194e-13,207.0,208.0,3.0492036404254144e-12,3.034544007538754e-12,0
64.0,0.0,0.0,1.0,185.0,186.0,2.298144392473119e-06,4.828665429025704e-10,2.197422451197244e-05,-1.0283408368296691,-0.3693812014445832,1.0,1.0,1.0,54.0,64.0,7.461330539423794e-13,8.041403402180727e-13,185.0,186.0,2.6100894210949747e-12,2.5960566822718835e-12,0
65.0,0.0,1.0,1.0,189.0,190.0,7.0171540421052645e-06,7.616527140263473e-10,2.759805634508248e-05,-1.0739005137153346,-0.3149010869319039,1.0,1.0,1.0,58.0,68.0,1.0784858541917028e-12,1.1094434853895177e-12,189.0,190.0,4.029908539821943e-12,4.008698494875512e-12,0
66.0,0.0,0.0,1.0,195.0,196.0,3.7591720612244905e-06,9.645156750499034e-10,3.1056652669756655e-05,-1.495399910264106,-0.0500405732365078,1.0,1.0,1.0,54.0,67.0,1.2326429790891474e-12,7.096333049216229e-13,195.0,196.0,4.946234231025145e-12,4.920998342091344e-12,0
67.0,0.0,1.0,1.0,179.0,180.0,-3.84912996111111e-06,6.640561139815299e-10,2.5769286252854e-05,-1.4956430025912677,-0.0036867545410024,1.0,1.0,1.0,48.0,56.0,1.086661011723246e-12,7.683594323691489e-13,179.0,180.0,3.709810692634245e-12,3.6892006332307206e-12,0
68.0,0.0,1.0,1.0,184.0,185.0,-5.100298848648649e-06,5.188734516159004e-10,2.2778793901695067e-05,-1.416096102682555,-0.0642284565779919,1.0,1.0,1.0,53.0,59.0,8.803084129211662e-13,8.900904496353865e-13,184.0,185.0,2.819964410955981e-12,2.804721360085948e-12,1
69.0,0.0,1.0257461751052293,1.0,184.0,185.0,2.671946816216216e-06,4.927733588189808e-10,2.219849902175777e-05,-1.4689595707856722,-0.0561836788134265,1.0,1.0,1.0,58.0,67.0,0.00024391108896173325,1.0637560706832997e-12,184.0,185.0,2.6781160805379395e-12,2.663639777399897e-12,1
70.0,0.0,1.0514923502104585,1.0,171.0,172.0,3.182576854651162e-06,2.6726509355641103e-10,1.6348244357006993e-05,-1.0258049602082415,-0.4235697550629071,1.0,1.0,1.0,52.0,60.0,0.00048782217666941456,7.784233211330322e-13,171.0,172.0,1.5629537634877838e-12,1.5538668230023896e-12,1
71.0,1.0,1.0772385253156878,1.0,182.0,183.0,2.893392010382513e-06,1.7731739285995887e-10,1.3316057707142864e-05,-1.1040904271965803,-0.2735371710611026,1.0,1.0,1.0,44.0,52.0,0.0007317332647344215,9.315069785279786e-13,182.0,183.0,9.742713893404333e-13,9.689475019669884e-13,1
72.0,0.0,0.1029847004209169,1.0,187.0,219.72789698394675,1.5482294946808511e-06,2.3533914099406087e-10,1.5340767288309307e-05,-1.4463689695446549,-0.0129745063913853,1.0,1.0523440120674703,1.0,61.0,65.0,0.000975644352809232,8.476325002096805e-13,187.0,188.0,1.2584980801821436e-12,1.2518039414577709e-12,1
73.0,0.0,1.1287308755261465,1.0,162.0,226.45579396789356,-4.1057247484662585e-06,9.305489476574432e-11,9.646496502137153e-06,-1.4643084778714672,-0.0251626262914755,1.0,1.1046880241349406,1.0,48.0,55.0,0.0012195554407162703,6.973088195415399e-13,162.0,163.0,5.744129306527428e-13,5.708889249432167e-13,1
74.0,1.0,1.1544770506313755,1.0,190.0,286.1836909518403,5.308426963350783e-07,2.1922667955327403e-10,1.4806305398487297e-05,-1.2258996184457776,0.1034148049537675,1.0,1.157032036202411,1.0,13.0,16.0,0.0014634665307117173,3.773585642967591e-12,190.0,191.0,1.153824629227758e-12,1.1477836625825865e-12,1
75.0,0.0,0.1802232257366046,1.0,188.0,315.91158793578705,2.738583562962963e-06,2.4363128236749434e-10,1.5608692525881032e-05,-1.4228862421816684,-0.0784838111123839,1.0,1.2093760482698812,1.0,54.0,61.0,0.001707377617060912,9.692337487614106e-13,188.0,189.0,1.2959110764228422e-12,1.2890544040608166e-12,1
76.0,0.0,1.2059694008418338,1.0,180.0,339.63948491973383,3.495366430939227e-06,2.587241683162709e-10,1.6084904983128465e-05,-1.4225883367707646,-0.0773036654387795,1.0,1.2617200603373515,1.0,31.0,34.0,0.0019512887076520594,8.166129331452272e-12,180.0,181.0,1.4373564906459497e-12,1.429415294565033e-12,1
77.0,0.0,1.231715575947063,1.0,180.0,371.36738190368055,-6.273053140331491e-06,2.1093718662050679e-10,1.4523676759708843e-05,-1.3798790827668337,0.0179007956267788,11.0,1.3140640724048218,1.0,31.0,44.0,0.0021951997979011337,1.5160421130533637e-11,180.0,181.0,1.1718732590028157e-12,1.1653988211077725e-12,1
78.0,0.0,1.2574617510522923,1.0,198.0,421.0952788876273,-1.0495236432160806e-06,5.339947695131564e-10,2.310832684365436e-05,-1.3874609017024164,-0.1041889661129474,1.0,1.3664080844722921,1.0,41.0,55.0,0.0024391108845492854,9.945435765051948e-12,198.0,199.0,2.696943280369478e-12,2.683390801573652e-12,1
79.0,0.0,1.2832079261575216,1.0,182.0,436.8231758715741,1.781611322404373e-06,4.034177597538902e-10,2.008526225255449e-05,-0.8338558517755952,-0.4487887167373275,1.0,1.4187520965397624,1.0,26.0,37.0,0.0026830219723078383,9.701650285892871e-12,182.0,183.0,2.216581097548847e-12,2.204468632534919e-12,1
80.0,1.0,1.3089541012627508,1.0,177.0,463.5510728555208,6.674827876404496e-07,5.137744458321065e-10,2.266659316774593e-05,0.4634700531724163,-0.8369032610276442,2.0,1.4710961086072327,1.0,2.0,2.0,0.002926933126385491,2.020517843314645e-10,177.0,178.0,2.902680484927156e-12,2.8863732911916096e-12,1
81.0,1.0,0.33470027636798,1.0,181.0,499.2789698394676,2.7613645109890102e-06,8.387918034430804e-10,2.8961902621255404e-05,-1.4544127293462146,-0.1321786336700885,1.0,1.523440120674703,1.0,30.0,43.0,0.0031708441481255313,6.519578720607465e-12,181.0,182.0,4.63420885880155e-12,4.608746172764179e-12,1
82.0,1.0,1.3604464514732093,1.0,165.0,515.0068668234144,-7.583311739759037e-06,4.306874220481651e-10,2.075300995152668e-05,-1.4463011708546298,0.0201990359882362,2.0,1.5757841327421733,1.0,9.0,26.0,0.003414755237100379,9.279822016730595e-12,165.0,166.0,2.6102268002919104e-12,2.5945025424588264e-12,1
83.0,0.0,1.3861926265784386,1.0,184.0,565.7347638073611,6.311814000000077e-08,7.821093261316574e-10,2.796621758714713e-05,-1.4898144084296108,-0.0164111850420139,1.0,1.6281281448096434,1.0,47.0,58.0,0.003658666322431903,1.4723699328012557e-12,184.0,185.0,4.2505941637590084e-12,4.2276179790900415e-12,1
84.0,0.0,1.4119388016836678,1.0,177.0,178.0,2.7145980494382026e-06,7.429013812823033e-10,2.725621729591807e-05,-1.4306010913298026,-0.0610239754201624,1.0,1.6804721568771137,1.0,43.0,56.0,0.0039025774104449397,1.4108920922930565e-12,177.0,178.0,4.197182945097758e-12,4.173603265630917e-12,1
85.0,0.0,1.437684976788897,1.0,173.0,174.0,7.936907586206898e-06,5.965982205763822e-10,2.442536019338061e-05,-1.4700929404093162,-0.0325844290585811,1.0,1.732816168944584,1.0,45.0,56.0,0.004146488498106729,7.324357024993022e-13,173.0,174.0,3.4485446276091454e-12,3.428725405611392e-12,1
86.0,0.0,0.4634311518941262,1.0,176.0,177.0,3.284200141242938e-06,5.25711357488014e-10,2.2928396313044093e-05,-1.4530862609027564,-0.0425118669404759,1.0,1.7851601810120543,1.0,51.0,64.0,0.00439039958617285,1.0634296544059628e-12,176.0,177.0,2.986996349363716e-12,2.9701206637740906e-12,1
87.0,0.0,0.4891773269993554,1.0,177.0,178.0,2.208765617977528e-07,5.141055765632126e-10,2.267389636924392e-05,-1.4957787948396222,0.0152093887620653,1.0,1.8375041930795246,1.0,54.0,62.0,0.004634310674177098,1.017118662657163e-12,177.0,178.0,2.904551280018151e-12,2.888233576197824e-12,1
88.0,0.0,1.5149235021045846,1.0,161.0,162.0,-3.433459209876543e-06,2.1741008990639615e-10,1.474483265101358e-05,-1.3995810314278638,-0.0951258002999912,1.0,1.889848205146995,1.0,41.0,51.0,0.004878221761891334,8.185023715281874e-13,161.0,162.0,1.3503732292322745e-12,1.3420375920147914e-12,1
